iter	Passed	Remaining
0	0	266
1	1	265
2	2	259
3	5	415
4	6	402
5	8	431
6	9	414
7	10	393
8	11	372
9	12	355
10	13	349
11	14	336
12	14	325
13	15	314
14	16	307
15	16	300
16	17	292
17	18	286
18	19	287
19	20	283
20	20	278
21	21	274
22	22	271
23	23	266
24	23	262
25	24	258
26	25	255
27	25	252
28	26	249
29	27	247
30	28	245
31	29	243
32	29	240
33	30	242
34	31	241
35	32	239
36	33	237
37	34	235
38	35	237
39	36	235
40	37	233
41	37	231
42	38	229
43	39	227
44	39	225
45	40	223
46	41	221
47	42	220
48	42	219
49	43	218
50	44	217
51	45	216
52	46	215
53	47	214
54	47	213
55	48	212
56	49	210
57	50	208
58	50	207
59	51	205
60	52	204
61	52	203
62	53	202
63	54	201
64	55	199
65	55	198
66	56	196
67	57	195
68	57	193
69	58	192
70	59	190
71	59	189
72	60	188
73	61	187
74	62	186
75	62	185
76	63	184
77	64	183
78	65	182
79	65	181
80	66	180
81	67	178
82	68	177
83	68	176
84	69	175
85	70	174
86	70	173
87	71	172
88	72	171
89	72	170
90	73	169
91	74	167
92	74	166
93	75	165
94	76	164
95	77	163
96	77	162
97	78	161
98	79	160
99	79	159
100	80	158
101	81	158
102	82	157
103	82	156
104	84	157
105	87	159
106	89	162
107	90	161
108	91	160
109	92	159
110	95	162
111	96	162
112	97	161
113	98	159
114	98	158
115	101	160
116	102	159
117	102	158
118	104	158
119	104	157
120	105	156
121	106	155
122	107	154
123	107	153
124	108	152
125	109	151
126	110	150
127	111	149
128	112	149
129	114	149
130	115	149
131	117	149
132	118	148
133	119	148
134	121	148
135	123	148
136	124	148
137	125	147
138	127	147
139	128	146
140	129	146
141	132	147
142	133	146
143	157	170
144	159	170
145	166	175
146	167	174
147	168	173
148	169	171
149	170	170
150	171	169
151	172	167
152	173	166
153	174	165
154	175	164
155	176	163
156	177	161
157	178	160
158	179	159
159	180	157
160	181	156
161	182	155
162	183	154
163	184	152
164	185	151
165	187	151
166	188	149
167	189	148
168	190	147
169	191	146
170	192	144
171	193	143
172	194	142
173	195	141
174	196	140
175	197	139
176	198	138
177	199	136
178	200	135
179	201	134
180	202	133
181	203	131
182	204	130
183	205	129
184	206	128
185	206	126
186	207	125
187	209	125
188	210	123
189	211	122
190	212	121
191	213	120
192	215	119
193	216	118
194	216	116
195	217	115
196	218	114
197	219	112
198	219	111
199	220	110
200	221	109
201	222	107
202	223	106
203	223	105
204	225	104
205	226	103
206	227	102
207	228	101
208	230	100
209	231	99
210	232	98
211	233	97
212	235	96
213	236	95
214	237	94
215	238	92
216	239	91
217	240	90
218	240	89
219	241	87
220	242	86
221	243	85
222	243	84
223	244	83
224	245	81
225	246	80
226	246	79
227	247	78
228	248	77
229	249	75
230	250	74
231	250	73
232	251	72
233	252	71
234	252	69
235	253	68
236	254	67
237	254	66
238	255	65
239	256	64
240	257	63
241	258	61
242	259	60
243	262	60
244	264	59
245	265	58
246	267	57
247	268	56
248	269	55
249	270	54
250	270	52
251	271	51
252	272	50
253	273	49
254	273	48
255	278	47
256	278	46
257	279	45
258	280	44
259	281	43
260	282	42
261	283	41
262	284	39
263	285	38
264	286	37
265	288	36
266	289	35
267	290	34
268	291	33
269	292	32
270	293	31
271	294	30
272	295	29
273	296	28
274	297	27
275	298	25
276	299	24
277	300	23
278	301	22
279	302	21
280	303	20
281	304	19
282	305	18
283	306	17
284	307	16
285	307	15
286	308	13
287	309	12
288	310	11
289	311	10
290	312	9
291	333	9
292	335	8
293	336	6
294	337	5
295	338	4
296	338	3
297	340	2
298	341	1
299	341	0
